_id,title,year,Votes,Revenue,rating,director
2,Prometheus,2012,485820,126.46,unrated,R_idley Scott
28,Dead Awake,2016,523,0.01,unrated,Phillip Guzman
53,Mother's Day,2016,20221,32.46,unrated,Garry Marshall
70,Deepwater Horizon,2016,89849,61.28,unrated,Peter Berg
67,Patriots Day,2016,39784,31.86,unrated,Peter Berg
30,Assassin's Creed,2016,112813,54.65,G,Justin Kurzel
50,The Last Face,2016,987,,unrated,Sean Penn
81,Inception,2010,1583625,292.57,G,Christopher Nolan
85,Furious Seven,2015,301249,350.03,unrated,James Wan
11,Fantastic Beasts and Where to Find Them,2016,232072,234.02,unrated,Dav_id Yates
54,John Wick,2014,321933,43,unrated,Chad Stahelski
41,Sausage Party,2016,120690,97.66,unrated,Greg Tiernan
47,Miss Sloane,2016,17818,3.44,unrated,John Madden
74,Collateral Beauty,2016,43977,30.98,unrated,Dav_id F_idel
7,La La Land,2016,258682,151.06,G,Damien Chazelle
89,The Hateful Eight,2015,341170,54.12,G,Quentin Tarantino
78,Inglourious Basterds,2009,959065,120.52,G,Quentin Tarantino
5,Suic_ide Squad,2016,393727,325.02,G,Dav_id Ayer
68,Mad Max: Fury Road,2015,632842,153.63,G,George Miller
71,The Promise,2016,149791,,unrated,Terry George
73,A Monster Calls,2016,39134,3.73,unrated,J.A. Bayona
8,Mindhorn,2016,2490,,unrated,Sean Foley
80,Ghostbusters,2016,147717,128.34,unrated,Paul Feig
83,The Wolf of Wall Street,2013,865134,116.87,G,Martin Scorsese
93,The Help,2007,225,169.71,G,Tate Taylor
75,Zootopia,2016,296853,341.26,G,Byron Howard
45,Lowr_iders,2016,279,4.21,unrated,Ricardo de Montreuil
79,Pirates of the Caribbean: Dead Man's Chest,2006,552027,423.03,unrated,Gore Verbinski
97,Kimi no na wa,2016,34110,4.68,G,Makoto Shinkai
84,Gone Girl,2014,636243,167.74,G,Dav_id Fincher
57,Don't Breathe,2016,121103,89.21,unrated,Fede Alvarez
77,The Avengers,2012,1045588,623.28,G,Joss Whedon
87,Live by Night,2016,27869,10.38,unrated,Ben Affleck
9,The Lost City of Z,2016,7188,8.01,unrated,James Gray
15,Colossal,2016,8612,2.87,G,Nacho Vigalondo
88,Avatar,2009,935408,760.51,G,James Cameron
58,Me Before You,2016,113322,56.23,unrated,Thea Sharrock
49,Star Trek Beyond,2016,164567,158.8,unrated,Justin Lin
34,Deadpool,2016,627797,363.02,G,Tim Miller
90,The Accountant,2016,162122,86.2,unrated,Gavin O'Connor
_design/794d3a1331c7f3304fb7715d2e2b21095f9e1be9,,,,,,
23,Hounds of Love,2016,1115,,unrated,Ben Young
94,War Dogs,2016,106463,43.02,unrated,Todd Phillips
27,Bahubali: The Beginning,2015,76193,6.5,G,S.S. Rajamouli
92,Warcraft,2016,187547,47.17,unrated,Duncan Jones
98,The Vo_id,2016,9247,0.15,unrated,Jeremy Gillespie
38,Doctor Strange,2016,293732,232.6,unrated,Scott Derrickson
6,The Great Wall,2016,56036,45.13,unrated,Yimou Zhang
19,Lion,2016,102061,51.69,G,Garth Davis
96,The Nice Guys,2016,175067,36.25,unrated,Shane Black
40,5- 25- 77,2016,241,,unrated,Patrick Read Johnson
72,Allied,2016,78079,40.07,unrated,Robert Zemeckis
61,Batman v Superman: Dawn of Justice,2016,472307,330.25,unrated,Zack Snyder
44,The Founder,2016,37033,12.79,unrated,John Lee Hancock
65,The Prestige,2006,913152,53.08,G,Christopher Nolan
76,Pirates of the Caribbean: At World's End,2016,498821,309.4,unrated,Gore Verbinski
69,Wakefield,2016,291,0.01,unrated,Robin Swicord
48,Fallen,2016,5103,,unrated,Scott Hicks
_design/f2e6f01a9d833e6d7edf525aeb2a6dccd91456f8,,,,,,
82,Captain Fantastic,2016,105081,5.88,unrated,Matt Ross
91,Prisoners,2013,431185,60.96,G,Denis Villeneuve
95,Avengers: Age of Ultron,2015,516895,458.99,G,Joss Whedon
86,Jurassic World,2015,455169,652.18,unrated,Colin Trevorrow
99,Personal Shopper,2016,10181,1.29,unrated,Olivier Assayas
